Reviewer Name,Date,Rating,Review Title,Review Text
"Dale Anketell2 reviewsUS7 days agoVerifiedMy Experience with Evergreen has always…My Experience with Evergreen has always been nothing but Positive. Judy Brochu was very helpful and professional. I've never had any issues with Evergreen. Thanks again Judy, Dale Anketell.Date of experience: July 30, 2024",2024-07-30T21:52:51.000Z,"<div class=""star-rating_starRating__4rrcf star-rating_medium__iN6Ty""><img alt=""Rated 5 out of 5 stars"" src=""https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg""/></div>",My Experience with Evergreen has always…,"My Experience with Evergreen has always been nothing but Positive. Judy Brochu was very helpful and professional. I've never had any issues with Evergreen. Thanks again Judy, Dale Anketell."
"Marian Giovannini2 reviewsUSJul 18, 2024Disappointed I was very disappointed to be denied a credit card from Evergreen. We successfully paid our boat loan with them and were looking for a good credit card to transfer a higher interest one. We are homeowners with no mortgage who have been with Evergreen for 5 years. Maybe it's because we are retired?Date of experience: July 18, 2024Reply from Evergreen Credit UnionJul 18, 2024Hi Marian,We understand how frustrating it can be to be denied for lending opportunities. It is never our intention to deny you from a card or loan. We are happy to work with you to make sure that next time you apply for a credit card with us that there is a very high chance you will be approved. If you have any questions about the card approval process, we encourage you to speak with an Evergreen team member at  your nearest branch.Best,EmmaEvergreen CU",2024-07-18T15:43:33.000Z,"<div class=""star-rating_starRating__4rrcf star-rating_medium__iN6Ty""><img alt=""Rated 1 out of 5 stars"" src=""https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg""/></div>",Disappointed,I was very disappointed to be denied a credit card from Evergreen. We successfully paid our boat loan with them and were looking for a good credit card to transfer a higher interest one. We are homeowners with no mortgage who have been with Evergreen for 5 years. Maybe it's because we are retired?
"ASAshleigh Scalamandre1 reviewUSJul 10, 2024VerifiedAmazing Team at EvergreenI just wanted to thank the Evergreen Team again for all they did to assist my husband and I in securing an auto loan. We definitely were not the easiest people to work with our constant questions but their quick, efficient, and friendly attitudes made us feel at ease and comfortable throughout the entire process. I was able to pick up my car the same day after receiving excellent service at the South Portland location even coming in with only a few minutes until close. Im so grateful to have Evergreen, and proud to have them as our trusted credit union!Date of experience: July 09, 2024Reply from Evergreen Credit UnionJul 18, 2024Hi Ashleigh,It was our pleasure to serve you and your husband! We're happy to hear your auto loan process went successfully. Thank you for sharing your experience! Best,EmmaEvergreen CU",2024-07-10T17:43:24.000Z,"<div class=""star-rating_starRating__4rrcf star-rating_medium__iN6Ty""><img alt=""Rated 5 out of 5 stars"" src=""https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg""/></div>",Amazing Team at Evergreen,"I just wanted to thank the Evergreen Team again for all they did to assist my husband and I in securing an auto loan. We definitely were not the easiest people to work with our constant questions but their quick, efficient, and friendly attitudes made us feel at ease and comfortable throughout the entire process. I was able to pick up my car the same day after receiving excellent service at the South Portland location even coming in with only a few minutes until close. Im so grateful to have Evergreen, and proud to have them as our trusted credit union!"
"TCTed Coffin1 reviewUSJul 5, 2024VerifiedGreat customer serviceMy wife and I are buying are house and something appeared on my credit report which was no longer my affiliation. Rebecca was very helpful and fast in getting a letter out to me to clear things up.Buying a house is pretty stressful and when odd things pop up its great to know ECU and people like Rebecca are your corner to take quick action.THANK YOU REBECCA!Date of experience: July 02, 2024Reply from Evergreen Credit UnionJul 8, 2024Thank you for reaching out to us to help with your credit report. We're happy to hear Rebecca answered your questions and helped you in the best way possible!Best,EmmaEvergreen CU",2024-07-05T23:39:50.000Z,"<div class=""star-rating_starRating__4rrcf star-rating_medium__iN6Ty""><img alt=""Rated 5 out of 5 stars"" src=""https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg""/></div>",Great customer service,My wife and I are buying are house and something appeared on my credit report which was no longer my affiliation. Rebecca was very helpful and fast in getting a letter out to me to clear things up.Buying a house is pretty stressful and when odd things pop up its great to know ECU and people like Rebecca are your corner to take quick action.THANK YOU REBECCA!
"SSSherry Spaulding1 reviewUSJul 3, 2024VerifiedEvergreen Credit Union was amazing to…Evergreen Credit Union was amazing to work with.  Sarah Hutchins, our Mortgage Loan Originator, went above and beyond in guiding us through the loan process.  There were many calls accommodating after work hours, which I was grateful for.  Thank you Sarah for helping us with closing on our forever home!SherryDate of experience: July 02, 2024Reply from Evergreen Credit UnionJul 8, 2024We're happy Sarah was able to help you, Sherry! Thank you for choosing us for your loan.Best,EmmaEvergreen CU",2024-07-03T01:46:56.000Z,"<div class=""star-rating_starRating__4rrcf star-rating_medium__iN6Ty""><img alt=""Rated 5 out of 5 stars"" src=""https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg""/></div>",Evergreen Credit Union was amazing to…,"Evergreen Credit Union was amazing to work with.  Sarah Hutchins, our Mortgage Loan Originator, went above and beyond in guiding us through the loan process.  There were many calls accommodating after work hours, which I was grateful for.  Thank you Sarah for helping us with closing on our forever home!Sherry"
"NSNoel Sherburne1 reviewUSJun 18, 2024VerifiedI requested bank statements and the…I requested bank statements and the request was fulfilled within 15 minutes. Great customer service! The only feedback I would provide is having a place online to view the statements in PDF format so customers could download them without having to request them in the future. This would remove the extra step of requesting them. Date of experience: June 18, 2024Reply from Evergreen Credit UnionUpdated Jun 20, 2024Hi Noel,Thank you very much for your feedback and your review! We appreciate the kind words. You can download your statements as PDFs anytime through our Online Banking services. On your desktop computer, visit egcu.org and log into Online Banking. Once you are logged in, click the ""Other Services"" menu, then click ""eDocuments"". From there, you can export any monthly statement as a PDF. If you ever have any questions, our Member Experience Center is happy to help by calling (207) 221-5000. Of course, if you would like to visit your nearest Evergreen location, our teams are ready to assist.Thanks again for your review,EmmaEvergreen CU",2024-06-18T20:22:49.000Z,"<div class=""star-rating_starRating__4rrcf star-rating_medium__iN6Ty""><img alt=""Rated 5 out of 5 stars"" src=""https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg""/></div>",I requested bank statements and the…,I requested bank statements and the request was fulfilled within 15 minutes. Great customer service! The only feedback I would provide is having a place online to view the statements in PDF format so customers could download them without having to request them in the future. This would remove the extra step of requesting them.
"MLMatthew L’Abbe1 reviewUSJun 18, 2024VerifiedGreat experience I had multiple scam charges ending in a negative balance with OD charges and I worked with Rebecca Lanefski and we were able to resolve all my account issues quickly and she was very delightful, knowledgeable, and easy to work with. Thank you Rebecca and thank you evergreen for your support!!!!Date of experience: June 18, 2024Reply from Evergreen Credit UnionJun 20, 2024We're happy Rebecca could help you, Matthew! Thanks for sharing your experience.Best,EmmaEvergreen CU",2024-06-18T18:56:21.000Z,"<div class=""star-rating_starRating__4rrcf star-rating_medium__iN6Ty""><img alt=""Rated 5 out of 5 stars"" src=""https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg""/></div>",Great experience,"I had multiple scam charges ending in a negative balance with OD charges and I worked with Rebecca Lanefski and we were able to resolve all my account issues quickly and she was very delightful, knowledgeable, and easy to work with. Thank you Rebecca and thank you evergreen for your support!!!!"
"LELindsay Edwards1 reviewUSMay 23, 2024VerifiedBest Ever Banking Experience Casey has been amazing to work with. I have been waiting for a vehicle to arrive for months and through the entire process, Casey has been informative, responsive and friendly. I am a first time customer and I am so impressed. When I told the finance department at the dealership our rate, they said they wouldn’t even try to match it because they couldn’t get close. My husband is a veteran and we really appreciate the rate discount. It’s an incredible thing to do. Thank you for being the bright side of buying a car. Date of experience: May 23, 2024Reply from Evergreen Credit UnionMay 28, 2024Hi Lindsay,We're glad Casey helped you in so many ways! Thank you for sharing your experience with us.Best,EmmaEvergreen CU",2024-05-23T22:35:55.000Z,"<div class=""star-rating_starRating__4rrcf star-rating_medium__iN6Ty""><img alt=""Rated 5 out of 5 stars"" src=""https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg""/></div>",Best Ever Banking Experience,"Casey has been amazing to work with. I have been waiting for a vehicle to arrive for months and through the entire process, Casey has been informative, responsive and friendly. I am a first time customer and I am so impressed. When I told the finance department at the dealership our rate, they said they wouldn’t even try to match it because they couldn’t get close. My husband is a veteran and we really appreciate the rate discount. It’s an incredible thing to do. Thank you for being the bright side of buying a car."
"KEKen1 reviewSEApr 20, 2024VerifiedSecurity I called the Evergreen's Portland location on Saturday, 04.20.2024.  It seemed a log in change had been made which asked if I were an adult.  The posting was done by Cloudflare.  The potential for a possible scam or worse gave me pause before answering.  The 'authentication' (I guess) somehow gave sufficient proof so I was then able to log into my account.I also had a rather minor request to edit the names on specific accounts.My call was taken by Danielle and together we were able to address and resolve.Having employees who feel professional yet personable service are critical in securing confidence in both Evergreen and their employees.Your mission and mine were met by Danielle.Date of experience: April 20, 2024Reply from Evergreen Credit UnionMay 6, 2024Hi Ken,Thank you for sharing you Evergreen Experience with us! We're happy to see that Danielle helped answer your questions. As always, please let us know if you have any questions about your account.Best,EmmaEvergreen CU",2024-04-20T18:12:35.000Z,"<div class=""star-rating_starRating__4rrcf star-rating_medium__iN6Ty""><img alt=""Rated 5 out of 5 stars"" src=""https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg""/></div>",Security,"I called the Evergreen's Portland location on Saturday, 04.20.2024.  It seemed a log in change had been made which asked if I were an adult.  The posting was done by Cloudflare.  The potential for a possible scam or worse gave me pause before answering.  The 'authentication' (I guess) somehow gave sufficient proof so I was then able to log into my account.I also had a rather minor request to edit the names on specific accounts.My call was taken by Danielle and together we were able to address and resolve.Having employees who feel professional yet personable service are critical in securing confidence in both Evergreen and their employees.Your mission and mine were met by Danielle."
"TNThe Noyes Family1 reviewUSMay 10, 2024VerifiedExceptional Service From Entering to Exiting!We wanted to extend our gratitude to the exceptional team that works at the Riverside Evergreen Credit Union branch. The atmosphere promoted at ECU is inviting, friendly, professional, efficient, and caring. Whether you are making a deposit, lost your debit card, or are taking out a loan... you will be taken care of by this incredibly accommodating and lovely team. Thank you for the many years of exceptional service! Date of experience: May 10, 2024Reply from Evergreen Credit UnionMay 16, 2024Thank you, Noyes Family! We're always happy to help. Best,EmmaEvergreen CU",2024-05-10T19:18:42.000Z,"<div class=""star-rating_starRating__4rrcf star-rating_medium__iN6Ty""><img alt=""Rated 5 out of 5 stars"" src=""https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg""/></div>",Exceptional Service From Entering to Exiting!,"We wanted to extend our gratitude to the exceptional team that works at the Riverside Evergreen Credit Union branch. The atmosphere promoted at ECU is inviting, friendly, professional, efficient, and caring. Whether you are making a deposit, lost your debit card, or are taking out a loan... you will be taken care of by this incredibly accommodating and lovely team. Thank you for the many years of exceptional service!"
